Location,Site,Row,Column,BroadLeaf
RS,RS028,1,5,0
RS,RS028,1,6,1
RS,RS028,1,7,0
RS,RS028,2,0,1
RS,RS028,2,1,1
RS,RS028,2,2,1
RS,RS028,2,3,1
RS,RS028,2,4,1
RS,RS028,2,5,0
RS,RS028,2,6,1
RS,RS028,2,7,0
RS,RS028,3,0,1
RS,RS028,3,1,1
RS,RS028,3,2,1
RS,RS028,3,3,1
RS,RS028,3,4,1
RS,RS028,3,5,0
RS,RS028,3,6,0
RS,RS028,3,7,0
RS,RS029,1,0,1
RS,RS029,1,1,9
RS,RS029,1,2,1
RS,RS029,1,3,1
RS,RS029,1,4,1
RS,RS029,1,5,1
RS,RS029,1,6,1
RS,RS029,1,7,0
RS,RS029,2,0,1
RS,RS029,2,1,1
RS,RS029,2,2,1
RS,RS029,2,3,1
RS,RS029,2,4,0
RS,RS029,2,5,1
RS,RS029,2,6,1
RS,RS029,2,7,0
RS,RS029,3,0,1
RS,RS029,3,1,9
RS,RS029,3,2,1
RS,RS029,3,3,1
RS,RS029,3,4,1
RS,RS029,3,5,1
RS,RS029,3,6,0
RS,RS029,3,7,0
RS,RS030,1,0,1
RS,RS030,1,1,0
RS,RS030,1,2,1
RS,RS030,1,3,1
RS,RS030,1,4,1
RS,RS030,1,5,0
RS,RS030,1,6,0
RS,RS030,1,7,0
RS,RS030,2,0,1
RS,RS030,2,1,1
RS,RS030,2,2,0
RS,RS030,2,3,1
RS,RS030,2,4,0
RS,RS030,2,5,1
RS,RS030,2,6,0
RS,RS030,2,7,1
RS,RS030,3,0,0
RS,RS030,3,1,9
RS,RS030,3,2,1
RS,RS030,3,3,1
RS,RS030,3,4,1
RS,RS030,3,5,1
RS,RS030,3,6,0
RS,RS030,3,7,1
RS,RS031,1,0,0
RS,RS031,1,1,0
RS,RS031,1,2,0
RS,RS031,1,3,1
RS,RS031,1,4,0
RS,RS031,1,5,0
RS,RS031,1,6,0
RS,RS031,1,7,0
RS,RS031,2,0,0
RS,RS031,2,1,0
RS,RS031,2,2,0
